nome,valor_mercado,posicao,idade,nacionalidade,clube,jogos,minutos,gols,assistencias,amarelos,vermelhos,passes_tent,pct_passes,passes_prog,chutes,chutes_gol,xG,desarmes,interceptacoes,bloqueios,cortes,defesas_gk,pct_defesas,clean_sheets
brenden aaronson,,"MF,FW",25,usUSA,Leeds United,35,2301,4,5,2,0,0.0,0.0,0.0,1.68,16,4.6,26,17,0.0,0.0,0.0,0.0,0.0
zach abbott,,DF,20,engENG,Nottingham Forest,3,164,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,4,2,0.0,0.0,0.0,0.0,0.0
himad abdelli,,MF,26,dzALG,Marseille,8,138,0,0,1,0,0.0,0.0,0.0,2.61,1,2.1,1,2,0.0,0.0,0.0,0.0,0.0
ali abdi,,"MF,DF",32,tnTUN,Nice,21,1097,3,0,4,1,0.0,0.0,0.0,0.9,3,2.4,10,10,0.0,0.0,0.0,0.0,0.0
salis abdul samed,,MF,26,ghGHA,Nice,18,911,0,0,3,0,0.0,0.0,0.0,0.1,0,0.0,7,11,0.0,0.0,0.0,0.0,0.0
saud abdulhamid,,MF,26,saKSA,Lens,24,1307,2,4,3,1,0.0,0.0,0.0,0.55,3,0.8,22,9,0.0,0.0,0.0,0.0,0.0
laurent abergel,,MF,33,frFRA,Lorient,27,2253,1,0,6,0,0.0,0.0,0.0,0.88,5,0.8,23,28,0.0,0.0,0.0,0.0,0.0
matthis abline,,"FW,MF",23,frFRA,Nantes,32,2494,6,4,6,0,0.0,0.0,0.0,3.03,22,8.0,13,9,0.0,0.0,0.0,0.0,0.0
abner,,"DF,MF",25,brBRA,Lyon,25,2060,3,2,4,1,0.0,0.0,0.0,0.74,7,1.6,21,8,0.0,0.0,0.0,0.0,0.0
zakaria aboukhlal,,MF,26,maMAR,Torino,15,511,0,0,4,0,0.0,0.0,0.0,1.23,2,0.3,12,1,0.0,0.0,0.0,0.0,0.0
tammy abraham,,FW,28,engENG,Aston Villa,12,286,2,0,0,0,0.0,0.0,0.0,2.83,3,2.0,1,0,0.0,0.0,0.0,0.0,0.0
