nome,valor_mercado
Lamine Yamal,200000000.0
Erling Haaland,200000000.0
Kylian Mbappé,180000000.0
Pedri,150000000.0
Michael Olise,150000000.0
João Neves,140000000.0
Khvicha Kvaratskhelia,140000000.0
Vitinha,140000000.0
Vinicius Junior,140000000.0
Jude Bellingham,130000000.0
Désiré Doué,120000000.0
Declan Rice,120000000.0
Bukayo Saka,110000000.0
Moisés Caicedo,100000000.0
Fermín López,100000000.0
Florian Wirtz,100000000.0
Jamal Musiala,100000000.0
Julián Alvarez,100000000.0
Cole Palmer,100000000.0
William Saliba,100000000.0
Dominik Szoboszlai,100000000.0
Ousmane Dembélé,100000000.0
Yan Diomande,90000000.0
Arda Güler,90000000.0
Aleksandar Pavlovic,90000000.0
Enzo Fernández,90000000.0
Rayan Cherki,90000000.0
Morgan Rogers,90000000.0
Federico Valverde,90000000.0
Lautaro Martínez,85000000.0
Alexander Isak,85000000.0
Estêvão,80000000.0
Pau Cubarsí,80000000.0
Nico Paz,80000000.0
Warren Zaïre-Emery,80000000.0
Hugo Ekitiké,80000000.0
Willian Pacho,80000000.0
João Pedro,80000000.0
Nuno Mendes,80000000.0
Antoine Semenyo,80000000.0
Ryan Gravenberch,80000000.0
Achraf Hakimi,80000000.0
Sandro Tonali,80000000.0
Kenan Yıldız,75000000.0
Benjamin Sesko,75000000.0
Elliot Anderson,75000000.0
Matheus Cunha,75000000.0
Jérémy Doku,75000000.0
Gabriel,75000000.0
Martín Zubimendi,75000000.0
Bryan Mbeumo,75000000.0
Victor Osimhen,75000000.0
Junior Kroupi,70000000.0
Kobbie Mainoo,70000000.0
Adam Wharton,70000000.0
Nico O'Reilly,70000000.0
Bradley Barcola,70000000.0
Alexis Mac Allister,70000000.0
Bruno Guimarães,70000000.0
Luis Díaz,70000000.0
Josko Gvardiol,70000000.0
Morgan Gibbs-White,70000000.0
Jurriën Timber,70000000.0
Aurélien Tchouaméni,70000000.0
Raphinha,70000000.0
Phil Foden,70000000.0
Marc Guéhi,70000000.0
Dayot Upamecano,70000000.0
Igor Thiago,65000000.0
Anthony Gordon,65000000.0
Eberechi Eze,65000000.0
Viktor Gyökeres,65000000.0
Martin Ødegaard,65000000.0
Alessandro Bastoni,65000000.0
Lennart Karl,60000000.0
Rayan,60000000.0
Luka Vuskovic,60000000.0
Dean Huijsen,60000000.0
Rasmus Højlund,60000000.0
Pedro Neto,60000000.0
Reece James,60000000.0
Cody Gakpo,60000000.0
Jules Koundé,60000000.0
Trent Alexander-Arnold,60000000.0
Dani Olmo,60000000.0
Harry Kane,60000000.0
Jérémy Jacquet,55000000.0
Carlos Baleba,55000000.0
Pablo Barrios,55000000.0
Iliman Ndiaye,55000000.0
